epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3012,2.04884,4.73801,1.17204,0.02009,0.00893,0.01419,0.00655,1.67767,4.67174,0.98399,0.00018139,0.00018139,0.00018139
2,95.0627,1.88277,4.2308,1.03722,0.02044,0.16974,0.06066,0.0384,1.56866,4.25795,0.96124,0.000362185,0.000362185,0.000362185
3,144.907,1.84145,3.82206,1.01945,0.72847,0.10322,0.13142,0.08778,1.58504,3.35791,0.96053,0.000538393,0.000538393,0.000538393
4,195.473,1.85613,3.55155,1.01164,0.46779,0.20353,0.18596,0.12458,1.52257,3.13078,0.94402,0.000535358,0.000535358,0.000535358
5,245.472,1.77066,3.27147,0.996,0.51155,0.20572,0.21268,0.14426,1.49453,2.98392,0.94146,0.000528478,0.000528478,0.000528478
6,296.557,1.81137,3.11535,0.98887,0.64512,0.22753,0.25572,0.16895,1.53375,2.76512,0.94361,0.000521598,0.000521598,0.000521598
7,346.875,1.73811,2.90725,0.97469,0.72601,0.24275,0.27998,0.18566,1.49177,2.64337,0.93701,0.000514717,0.000514717,0.000514717
8,399.596,1.71651,2.76702,0.97492,0.82285,0.2436,0.30916,0.20492,1.48484,2.56629,0.93139,0.000507836,0.000507836,0.000507836
9,452.14,1.66661,2.61859,0.9723,0.78785,0.26711,0.32539,0.21568,1.42799,2.48898,0.92666,0.000500956,0.000500956,0.000500956
10,501.002,1.57719,2.40932,0.96517,0.73784,0.2972,0.34289,0.22477,1.44519,2.39666,0.92776,0.000494075,0.000494075,0.000494075
11,550.766,1.61344,2.34046,0.96485,0.75129,0.32845,0.37617,0.25193,1.38544,2.2274,0.92183,0.000487195,0.000487195,0.000487195
12,599.686,1.5945,2.23432,0.95357,0.68447,0.33624,0.39552,0.26077,1.39772,2.10706,0.9207,0.000480314,0.000480314,0.000480314
13,648.734,1.5971,2.12741,0.95193,0.7014,0.35538,0.41008,0.27756,1.35473,2.01317,0.91506,0.000473434,0.000473434,0.000473434
